Technique,Sample_Count,Percentage (%),Group
T0856,19,0.085,Rare (<30)
T1222,18,0.08,Rare (<30)
T1412,18,0.08,Rare (<30)
T1476,17,0.076,Rare (<30)
T1207,17,0.076,Rare (<30)
T1406,16,0.071,Rare (<30)
T1125,16,0.071,Rare (<30)
T0884,16,0.071,Rare (<30)
T1528,15,0.067,Rare (<30)
T0846,15,0.067,Rare (<30)
T1129,14,0.063,Rare (<30)
T1525,14,0.063,Rare (<30)
T1037,14,0.063,Rare (<30)
T1420,14,0.063,Rare (<30)
T1615,13,0.058,Rare (<30)
T1136,13,0.058,Rare (<30)
T1588,13,0.058,Rare (<30)
T1560,12,0.054,Rare (<30)
T1598,12,0.054,Rare (<30)
T1646,12,0.054,Rare (<30)
T1091,12,0.054,Rare (<30)
T1221,12,0.054,Rare (<30)
T1529,11,0.049,Rare (<30)
T1648,11,0.049,Rare (<30)
T1603,11,0.049,Rare (<30)
T1630,11,0.049,Rare (<30)
T0851,11,0.049,Rare (<30)
T1640,11,0.049,Rare (<30)
T1437,11,0.049,Rare (<30)
T1591,11,0.049,Rare (<30)
T1614,11,0.049,Rare (<30)
T1429,11,0.049,Rare (<30)
T0853,10,0.045,Rare (<30)
T1568,10,0.045,Rare (<30)
T1212,10,0.045,Rare (<30)
T1410,10,0.045,Rare (<30)
T0886,10,0.045,Rare (<30)
T1572,10,0.045,Rare (<30)
T1490,10,0.045,Rare (<30)
T1559,10,0.045,Rare (<30)
T1220,9,0.04,Rare (<30)
T1558,9,0.04,Rare (<30)
T1199,9,0.04,Rare (<30)
T1649,9,0.04,Rare (<30)
T1422,9,0.04,Rare (<30)
T1135,9,0.04,Rare (<30)
T1127,8,0.036,Rare (<30)
T1643,8,0.036,Rare (<30)
T1464,8,0.036,Rare (<30)
T1131,8,0.036,Rare (<30)
T1075,8,0.036,Rare (<30)
T1620,8,0.036,Rare (<30)
T1654,8,0.036,Rare (<30)
T1010,8,0.036,Rare (<30)
T1120,8,0.036,Rare (<30)
T1512,8,0.036,Rare (<30)
T0804,8,0.036,Rare (<30)
T1567,8,0.036,Rare (<30)
T1030,8,0.036,Rare (<30)
T1610,8,0.036,Rare (<30)
T0866,7,0.031,Rare (<30)
T1052,7,0.031,Rare (<30)
T1084,7,0.031,Rare (<30)
T1137,7,0.031,Rare (<30)
T0860,7,0.031,Rare (<30)
T1599,7,0.031,Rare (<30)
T1417,7,0.031,Rare (<30)
T1416,7,0.031,Rare (<30)
T1216,7,0.031,Rare (<30)
T1209,7,0.031,Rare (<30)
T1571,7,0.031,Rare (<30)
T1612,7,0.031,Rare (<30)
T0806,6,0.027,Rare (<30)
T1043,6,0.027,Rare (<30)
T1482,6,0.027,Rare (<30)
T1411,6,0.027,Rare (<30)
T1049,6,0.027,Rare (<30)
T1489,6,0.027,Rare (<30)
T0812,6,0.027,Rare (<30)
T1563,6,0.027,Rare (<30)
T1582,6,0.027,Rare (<30)
T0815,6,0.027,Rare (<30)
T0887,6,0.027,Rare (<30)
T0814,6,0.027,Rare (<30)
T1561,6,0.027,Rare (<30)
T1014,6,0.027,Rare (<30)
T0811,6,0.027,Rare (<30)
T0855,6,0.027,Rare (<30)
T0805,5,0.022,Rare (<30)
T1477,5,0.022,Rare (<30)
T0880,5,0.022,Rare (<30)
T1029,5,0.022,Rare (<30)
T1526,5,0.022,Rare (<30)
T1064,5,0.022,Rare (<30)
T1008,5,0.022,Rare (<30)
T0850,5,0.022,Rare (<30)
T1217,5,0.022,Rare (<30)
T1407,5,0.022,Rare (<30)
T1535,5,0.022,Rare (<30)
T1607,5,0.022,Rare (<30)
T0816,5,0.022,Rare (<30)
T0861,4,0.018,Rare (<30)
T0882,4,0.018,Rare (<30)
T0807,4,0.018,Rare (<30)
T1409,4,0.018,Rare (<30)
T0838,4,0.018,Rare (<30)
T1521,4,0.018,Rare (<30)
T1018,4,0.018,Rare (<30)
T0820,4,0.018,Rare (<30)
T0847,4,0.018,Rare (<30)
T0830,4,0.018,Rare (<30)
T1111,4,0.018,Rare (<30)
T0857,4,0.018,Rare (<30)
T1025,4,0.018,Rare (<30)
T1022,3,0.013,Rare (<30)
T1076,3,0.013,Rare (<30)
T1470,3,0.013,Rare (<30)
T1467,3,0.013,Rare (<30)
T1461,3,0.013,Rare (<30)
T1116,3,0.013,Rare (<30)
T0829,3,0.013,Rare (<30)
T1060,3,0.013,Rare (<30)
T0842,3,0.013,Rare (<30)
T1444,3,0.013,Rare (<30)
T1039,3,0.013,Rare (<30)
T1028,3,0.013,Rare (<30)
T1632,3,0.013,Rare (<30)
T1002,3,0.013,Rare (<30)
T1141,3,0.013,Rare (<30)
T1426,2,0.009,Rare (<30)
T1132,2,0.009,Rare (<30)
T1475,2,0.009,Rare (<30)
T1206,2,0.009,Rare (<30)
T1471,2,0.009,Rare (<30)
T1580,2,0.009,Rare (<30)
T0802,2,0.009,Rare (<30)
T1492,2,0.009,Rare (<30)
T1398,2,0.009,Rare (<30)
T0803,2,0.009,Rare (<30)
T1391,2,0.009,Rare (<30)
T1401,2,0.009,Rare (<30)
T1639,2,0.009,Rare (<30)
T1077,2,0.009,Rare (<30)
T1578,2,0.009,Rare (<30)
T8030,2,0.009,Rare (<30)
T0872,2,0.009,Rare (<30)
T0890,2,0.009,Rare (<30)
T0833,2,0.009,Rare (<30)
T1641,2,0.009,Rare (<30)
T1637,2,0.009,Rare (<30)
T1494,2,0.009,Rare (<30)
T1522,2,0.009,Rare (<30)
T0895,2,0.009,Rare (<30)
T1150,2,0.009,Rare (<30)
T1425,1,0.004,Rare (<30)
T1121,1,0.004,Rare (<30)
T1400,1,0.004,Rare (<30)
T0871,1,0.004,Rare (<30)
T1045,1,0.004,Rare (<30)
T0819,1,0.004,Rare (<30)
T1197,1,0.004,Rare (<30)
T1175,1,0.004,Rare (<30)
T1145,1,0.004,Rare (<30)
T1593,1,0.004,Rare (<30)
T1605,1,0.004,Rare (<30)
T0858,1,0.004,Rare (<30)
T1050,1,0.004,Rare (<30)
T2232,1,0.004,Rare (<30)
T0896,1,0.004,Rare (<30)
T1100,1,0.004,Rare (<30)
T1613,1,0.004,Rare (<30)
T1504,1,0.004,Rare (<30)
T1215,1,0.004,Rare (<30)
T1625,1,0.004,Rare (<30)
T1094,1,0.004,Rare (<30)
T8042,1,0.004,Rare (<30)
T8031,1,0.004,Rare (<30)
T1387,1,0.004,Rare (<30)
T1329,1,0.004,Rare (<30)
T1480,1,0.004,Rare (<30)
T1017,1,0.004,Rare (<30)
T0889,1,0.004,Rare (<30)
T0821,1,0.004,Rare (<30)
T0809,1,0.004,Rare (<30)
T0885,1,0.004,Rare (<30)
T0881,1,0.004,Rare (<30)
T0883,1,0.004,Rare (<30)
T1397,1,0.004,Rare (<30)
T1581,1,0.004,Rare (<30)
T1441,1,0.004,Rare (<30)
T1657,1,0.004,Rare (<30)
T1516,1,0.004,Rare (<30)
T8041,1,0.004,Rare (<30)
T8051,1,0.004,Rare (<30)
T8032,1,0.004,Rare (<30)
T8050,1,0.004,Rare (<30)
T8043,1,0.004,Rare (<30)
T8040,1,0.004,Rare (<30)
T1117,1,0.004,Rare (<30)
T0844,1,0.004,Rare (<30)
T1089,1,0.004,Rare (<30)
T1124,1,0.004,Rare (<30)
T1066,1,0.004,Rare (<30)
T1514,1,0.004,Rare (<30)
T1096,1,0.004,Rare (<30)
T1011,1,0.004,Rare (<30)
T1173,1,0.004,Rare (<30)
T1062,1,0.004,Rare (<30)
T1534,1,0.004,Rare (<30)
T1623,1,0.004,Rare (<30)
T1080,1,0.004,Rare (<30)
T1474,1,0.004,Rare (<30)
T0870,1,0.004,Rare (<30)
T1629,1,0.004,Rare (<30)
T1085,1,0.004,Rare (<30)
T1171,1,0.004,Rare (<30)
T1650,1,0.004,Rare (<30)
T1604,1,0.004,Rare (<30)
T0869,1,0.004,Rare (<30)
T1618,1,0.004,Rare (<30)
T1396,1,0.004,Rare (<30)
T1193,1,0.004,Rare (<30)
T1092,1,0.004,Rare (<30)
T1159,1,0.004,Rare (<30)
T1436,1,0.004,Rare (<30)
T1440,1,0.004,Rare (<30)
T1154,1,0.004,Rare (<30)
T0817,1,0.004,Rare (<30)
T0837,1,0.004,Rare (<30)
T1139,1,0.004,Rare (<30)
T0854,1,0.004,Rare (<30)
T0808,1,0.004,Rare (<30)
T1438,1,0.004,Rare (<30)
T0831,1,0.004,Rare (<30)
T0832,1,0.004,Rare (<30)
T1402,1,0.004,Rare (<30)
T1408,1,0.004,Rare (<30)
T1148,1,0.004,Rare (<30)
T0849,1,0.004,Rare (<30)
T1424,1,0.004,Rare (<30)
T1418,1,0.004,Rare (<30)
T1446,1,0.004,Rare (<30)
T1435,1,0.004,Rare (<30)
T1432,1,0.004,Rare (<30)
T1447,1,0.004,Rare (<30)
T1527,1,0.004,Rare (<30)
