Technique_ID,Original_Train_Support,Frequency_Group,Validation_Support,Optimal_Threshold,Validation_F2,Fallback_Used
T1203,50,Medium,6,0.29,0.8333333333333334,False
T1204,150,Head,19,0.46,0.0,True
T1205,23,Medium,3,0.46,0.0,True
T1207,6,Tail,1,0.46,0.0,True
T1210,18,Tail,2,0.46,0.0,True
T1211,5,Tail,1,0.46,0.0,True
T1212,4,Tail,1,0.46,0.0,True
T1213,19,Tail,2,0.46,0.0,True
T1216,11,Tail,1,0.46,0.0,True
T1217,9,Tail,1,0.46,0.0,True
T1218,190,Head,24,0.46,0.0,True
T1219,20,Medium,3,0.46,0.0,True
T1220,12,Tail,2,0.46,0.0,True
T1221,15,Tail,2,0.46,0.0,True
T1222,29,Medium,4,0.46,0.0,True
T1480,27,Medium,3,0.46,0.0,True
T1482,12,Tail,2,0.46,0.0,True
T1484,24,Medium,3,0.46,0.0,True
T1485,19,Tail,2,0.46,0.0,True
T1486,42,Medium,5,0.41,0.7142857142857143,False
T1489,25,Medium,3,0.46,0.0,True
T1490,22,Medium,3,0.46,0.0,True
T1491,10,Tail,1,0.46,0.0,True
T1495,4,Tail,1,0.46,0.0,True
T1496,14,Tail,2,0.46,0.0,True
T1497,96,Medium,12,0.32,0.26785714285714285,False
T1498,26,Medium,3,0.46,0.0,True
T1499,39,Medium,5,0.43,0.45454545454545453,False
T1505,55,Medium,7,0.38,0.6944444444444444,False
T1518,98,Medium,12,0.34,0.7758620689655172,False
T1525,5,Tail,1,0.46,0.0,True
T1526,5,Tail,1,0.46,0.0,True
T1528,10,Tail,1,0.46,0.0,True
T1529,13,Tail,2,0.46,0.0,True
T1530,7,Tail,1,0.46,0.0,True
T1531,4,Tail,1,0.46,0.0,True
T1534,8,Tail,1,0.46,0.0,True
T1535,6,Tail,1,0.46,0.0,True
T1537,3,Tail,0,0.46,0.0,True
T1538,3,Tail,0,0.46,0.0,True
T1539,14,Tail,2,0.46,0.0,True
T1542,33,Medium,4,0.46,0.0,True
T1543,141,Head,18,0.46,0.0,True
T1546,139,Head,17,0.46,0.0,True
T1547,294,Head,37,0.46,0.0,True
T1548,70,Medium,9,0.27,0.35714285714285715,False
T1550,50,Medium,6,0.37,0.5172413793103449,False
T1552,66,Medium,8,0.32,0.5555555555555556,False
T1553,112,Head,14,0.46,0.0,True
T1554,13,Tail,2,0.46,0.0,True
T1555,113,Head,14,0.46,0.0,True
T1556,34,Medium,4,0.46,0.0,True
T1557,27,Medium,3,0.46,0.0,True
T1558,42,Medium,5,0.13,0.15463917525773196,False
T1559,38,Medium,5,0.32,0.5555555555555556,False
T1560,112,Head,14,0.46,0.0,True
T1561,25,Medium,3,0.46,0.0,True
T1562,139,Head,17,0.46,0.0,True
T1563,18,Tail,2,0.46,0.0,True
T1564,136,Head,17,0.46,0.0,True
T1565,18,Tail,2,0.46,0.0,True
T1566,154,Head,19,0.46,0.0,True
T1567,22,Medium,3,0.46,0.0,True
T1568,44,Medium,6,0.18,0.38461538461538464,False
T1569,48,Medium,6,0.39,0.3448275862068966,False
T1570,16,Tail,2,0.46,0.0,True
T1571,26,Medium,3,0.46,0.0,True
T1572,16,Tail,2,0.46,0.0,True
T1573,154,Head,19,0.46,0.0,True
T1574,147,Head,18,0.46,0.0,True
T1578,15,Tail,2,0.46,0.0,True
T1580,8,Tail,1,0.46,0.0,True
T1583,59,Medium,7,0.37,0.6578947368421053,False
T1584,35,Medium,4,0.46,0.0,True
T1585,29,Medium,4,0.46,0.0,True
T1586,22,Medium,3,0.46,0.0,True
T1587,38,Medium,5,0.73,0.23809523809523808,False
T1588,85,Medium,11,0.29,0.5660377358490566,False
T1589,26,Medium,3,0.46,0.0,True
T1590,28,Medium,4,0.46,0.0,True
T1591,20,Medium,3,0.46,0.0,True
T1592,20,Medium,3,0.46,0.0,True
T1593,13,Tail,2,0.46,0.0,True
T1594,5,Tail,1,0.46,0.0,True
T1595,15,Tail,2,0.46,0.0,True
T1596,27,Medium,3,0.46,0.0,True
T1597,12,Tail,2,0.46,0.0,True
T1598,26,Medium,3,0.46,0.0,True
T1599,15,Tail,2,0.46,0.0,True
T1600,13,Tail,2,0.46,0.0,True
T1601,27,Medium,3,0.46,0.0,True
T1602,14,Tail,2,0.46,0.0,True
T1606,21,Medium,3,0.46,0.0,True
T1608,47,Medium,6,0.26,0.38461538461538464,False
T1609,6,Tail,1,0.46,0.0,True
T1610,7,Tail,1,0.46,0.0,True
T1611,9,Tail,1,0.46,0.0,True
T1612,4,Tail,1,0.46,0.0,True
T1613,6,Tail,1,0.46,0.0,True
T1614,28,Medium,4,0.46,0.0,True
T1615,6,Tail,1,0.46,0.0,True
T1619,4,Tail,1,0.46,0.0,True
T1620,8,Tail,1,0.46,0.0,True
