true_label,predicted_label,error_count
T1204,T1203,4
T1210,T1059,4
T1110,T1606,4
T1133,T1557,4
T1185,T1557,4
T1647,T1606,4
T0859,T1059,4
T0856,T1557,4
T0835,T1557,4
T0884,T1557,3
T0835,T1059,3
T1003,T1203,3
T1110,T1059,3
T1005,T1552,3
T1006,T1059,3
T1622,T1557,3
T1113,T1059,3
T1596,T1557,3
T1636,T1557,3
T1176,T1557,3
T1114,T1059,3
T1589,T1557,3
T1005,T1059,3
T1555,T1552,3
T1555,T1059,3
T1087,T1203,3
T1556,T1566,3
T1562,T1606,3
T1565,T1059,3
T1055,T1606,3
T1040,T1499,3
T1041,T1557,3
T1041,T1552,3
T1200,T1203,3
T1210,T1552,3
T1589,T1059,3
T1083,T1059,3
T1189,T1203,3
T1203,T1552,3
T1082,T1059,3
T1081,T1606,3
T1585,T1606,3
T1046,T1552,3
T1090,T1557,3
T1078,T1059,3
T1059,T1606,3
T1056,T1606,3
T1068,T1059,3
T0859,T1557,3
T1608,T1606,3
T1611,T1552,3
T1499,T1059,3
T1539,T1557,3
T1114,T1557,3
T1505,T1059,3
T1119,T1606,3
T1495,T1557,3
T1486,T1203,3
T1552,T1606,3
T1548,T1203,3
T1608,T1552,3
T1611,T1606,3
T1125,T1557,3
T1630,T1557,2
T1102,T1552,2
T1631,T1059,2
T0813,T1557,2
T1189,T1566,2
T1647,T1557,2
T1190,T1606,2
T1190,T1203,2
T1646,T1606,2
T1640,T1557,2
T1113,T1557,2
T0813,T1499,2
T1592,T1203,2
T1601,T1059,2
T1140,T1059,2
T1140,T1203,2
T1136,T1557,2
T1134,T1557,2
T1195,T1203,2
T1134,T1203,2
T1569,T1059,2
T1589,T1110,2
T1573,T1059,2
T1070,T1552,2
T1056,T1566,2
T1207,T1606,2
T1560,T1203,2
T1205,T1557,2
T1112,T1059,2
T1110,T1552,2
T1202,T1059,2
T1201,T1606,2
T1200,T1606,2
T1572,T1557,2
T1082,T1203,2
T1588,T1557,2
T1587,T1557,2
T1189,T1204,2
T1081,T1059,2
T1027,T1557,2
T1086,T1059,2
T1585,T1059,2
T1020,T1203,2
T1046,T1203,2
T1548,T1557,2
T1556,T1552,2
T1554,T1552,2
T1046,T1059,2
T1476,T1059,2
T1211,T1059,2
T1211,T1203,2
T1213,T1203,2
T1429,T1557,2
T1205,T1203,2
T1218,T1203,2
T1213,T1606,2
T1070,T1557,2
T1070,T1606,2
T1071,T1552,2
T1071,T1606,2
T1562,T1552,2
T1070,T1203,2
T1087,T1059,2
T1222,T1203,2
T1495,T1499,2
T1491,T1203,2
T1218,T1606,2
T1495,T1606,2
T1420,T1557,2
T1490,T1557,2
T1053,T1552,2
T1550,T1606,2
T1069,T1059,2
T1048,T1059,2
T1048,T1557,2
T1548,T1606,2
T1123,T1203,2
T1115,T1557,2
T1485,T1606,2
T1115,T1059,2
T1539,T1552,2
T1553,T1557,2
T1537,T1552,2
T1497,T1557,2
T1553,T1552,2
T1055,T1557,2
T1098,T1059,2
T1098,T1552,2
T1528,T1557,2
T1091,T1059,2
T1090,T1059,2
T1087,T1606,2
T1611,T1059,2
T1036,T1606,2
T1648,T1606,2
T1537,T1059,2
T1531,T1606,2
T1611,T1557,2
T1602,T1606,2
T1608,T1557,2
T1614,T1557,2
T1615,T1606,2
T1621,T1557,2
T1621,T1606,2
T0859,T1203,2
T0853,T1557,2
T0851,T1557,2
T0846,T1557,2
T1621,T1059,1
T1606,T1203,1
T1603,T1557,1
T1603,T1499,1
T1602,T1499,1
T1602,T1059,1
T1608,T1499,1
T1611,T1499,1
T1037,T1059,1
T1036,T1557,1
T1036,T1204,1
T0810,T1499,1
T1001,T1606,1
T1059,T1204,1
T1059,T1053,1
T1057,T1552,1
T1057,T1059,1
T1078,T1566,1
T1078,T1203,1
T1528,T1059,1
T1123,T1059,1
T1119,T1557,1
T1119,T1059,1
T1114,T1606,1
T1525,T1557,1
T1525,T1552,1
T1486,T1053,1
T1485,T1552,1
T1505,T1552,1
T1505,T1499,1
T1505,T1203,1
T1498,T1606,1
T1498,T1499,1
T1497,T1606,1
T1497,T1203,1
T1496,T1552,1
T1537,T1499,1
T1525,T1059,1
T1505,T1606,1
T1505,T1557,1
T1547,T1557,1
T1547,T1552,1
T1547,T1203,1
T1543,T1557,1
T1542,T1552,1
T1539,T1059,1
T1553,T1203,1
T1553,T1059,1
T1412,T1557,1
T1412,T1059,1
T1222,T1059,1
T1496,T1499,1
T1495,T1203,1
T1491,T1557,1
T1491,T1499,1
T1055,T1552,1
T1053,T1499,1
T1048,T1606,1
T1048,T1203,1
T1069,T1606,1
T1069,T1203,1
T1068,T1606,1
T1068,T1557,1
T1550,T1552,1
T1548,T1552,1
T1557,T1203,1
T1556,T1203,1
T1556,T1195,1
T1555,T1606,1
T1555,T1110,1
T1554,T1195,1
T1565,T1552,1
T1213,T1059,1
T1212,T1557,1
T1212,T1059,1
T1211,T1606,1
T1211,T1557,1
T1210,T1606,1
T1485,T1203,1
T1476,T1204,1
T1437,T1557,1
T1437,T1059,1
T1420,T1606,1
T1214,T1203,1
T1071,T1566,1
T1071,T1203,1
T1087,T1552,1
T1086,T1606,1
T1041,T1203,1
T1040,T1606,1
T1040,T1552,1
T1040,T1059,1
T1037,T1557,1
T1056,T1552,1
T1564,T1606,1
T1564,T1557,1
T1110,T1566,1
T1202,T1557,1
T1200,T1552,1
T1195,T1606,1
T1208,T1499,1
T1208,T1203,1
T1207,T1557,1
T1584,T1059,1
T1583,T1552,1
T1574,T1552,1
T1574,T1203,1
T1569,T1499,1
T1566,T1195,1
T1589,T1552,1
T1588,T1059,1
T1185,T1606,1
T1203,T1204,1
T1086,T1557,1
T1083,T1552,1
T1083,T1203,1
T1082,T1557,1
T1078,T1606,1
T1587,T1203,1
T1586,T1566,1
T1586,T1059,1
T1595,T1552,1
T1595,T1499,1
T1595,T1071,1
T1027,T1606,1
T1027,T1552,1
T1021,T1552,1
T1006,T1557,1
T1047,T1552,1
T1592,T1499,1
T1592,T1059,1
T1591,T1606,1
T1591,T1203,1
T1590,T1203,1
T1601,T1552,1
T1601,T1499,1
T1600,T1552,1
T1600,T1499,1
T1600,T1059,1
T1598,T1606,1
T1598,T1557,1
T1140,T1552,1
T1136,T1059,1
T1134,T1059,1
T1129,T1203,1
T1129,T1059,1
T1190,T1499,1
T0859,T1606,1
T1647,T1499,1
T1003,T1552,1
T1003,T1499,1
T1114,T1203,1
T1113,T1606,1
T1185,T1203,1
T1185,T1059,1
T1636,T1059,1
T1631,T1557,1
T1622,T1606,1
T1005,T1606,1
T1102,T1059,1
T1098,T1557,1
T1001,T1203,1
T1001,T1059,1
T0846,T1203,1
